ticker,target,best_alpha,mse_model,mse_baseline,r2,coef_inflation,coef_inflation_ci,coef_unemployment,coef_unemployment_ci,coef_usd_rub,coef_usd_rub_ci
ROSN,debt,15.264179671752334,0.05002475326406136,0.08081734078829782,0.3471690600009222,0.035442371402909054,"[-0.015, 0.087]",0.04680237541735167,"[-0.011, 0.096]",-0.0937570820550316,"[-0.143, -0.044]"
ROSN,capitalization,5.963623316594643,0.015222261068938508,0.032544824778442935,0.5302938293733539,-0.004464868837651098,"[-0.042, 0.056]",-0.029814382869291507,"[-0.062, 0.021]",0.0855611179931412,"[0.045, 0.118]"
RTKM,debt,7.543120063354623,0.004608130687246585,0.0073342207155353166,0.3541419958350862,0.02289684701746158,"[0.007, 0.043]",-0.016521828807129796,"[-0.037, 0.003]",0.028752250085417045,"[0.014, 0.049]"
RTKM,capitalization,1.151395399326448,0.01341149829675305,0.02302919201157736,0.35899079133829337,-0.018496619386271385,"[-0.046, 0.019]",0.08959188670248122,"[0.051, 0.127]",0.08064527926589574,"[0.044, 0.127]"
RUAL,debt,0.9102981779915218,0.022190867670374457,0.021406001652816548,-0.29956959366524094,-0.10337418122528207,"[-0.133, -0.065]",-0.07352910602663341,"[-0.107, -0.050]",0.08278853360788407,"[0.030, 0.116]"
RUAL,capitalization,7.543120063354623,0.06800154528900303,0.08634913351826538,0.12893044387120678,0.10130450744703311,"[0.041, 0.159]",0.042192404965116295,"[-0.020, 0.118]",-0.045098025143573674,"[-0.105, 0.004]"
SBER,debt,1.4563484775012443,0.006133327416864586,0.00820124030940677,0.012611666936805155,0.05076475960492405,"[0.008, 0.087]",0.06467557546671468,"[0.025, 0.104]",0.07242502667659333,"[0.022, 0.137]"
SBER,capitalization,2.9470517025518097,0.022517264843382425,0.030211550531233575,0.25345755890749144,0.08106003743185675,"[0.052, 0.115]",-0.01848925164538364,"[-0.048, 0.021]",0.03488324057107631,"[0.007, 0.076]"
TTLK,debt,5.963623316594643,181.203401568794,349.7022736276088,0.45312868535352646,-4.511734312599064,"[-7.347, -2.490]",6.591836434076772,"[2.942, 10.089]",-0.9730693347429079,"[-3.548, 1.258]"
TTLK,capitalization,4.714866363457395,0.04966752083002743,0.3020047147753423,0.8353066080530005,0.0453043834670032,"[-0.000, 0.116]",-0.23890186017926493,"[-0.288, -0.177]",0.13251643391865342,"[0.081, 0.195]"
VTBR,debt,62.50551925273976,0.015289037642650195,0.015458930271941888,0.0007620904092342506,-0.005721097157153585,"[-0.013, 0.004]",-0.006840811757233558,"[-0.024, 0.009]",0.01286322655653317,"[-0.001, 0.025]"
VTBR,capitalization,24.420530945486497,0.07859598583970948,0.10278265288342862,0.22282950958471026,-0.04784300797847498,"[-0.078, -0.023]",0.04393729175844633,"[0.002, 0.091]",-0.00987807338527664,"[-0.054, 0.032]"
